Date,Avila Adobe,Firehouse Museum,Chinese American Museum,America Tropical Interpretive Center
1/01/2014,24778,4486,1581,6602
1/02/2014,18976,4172,1785,5029
1/03/2014,25231,7082,3229,8129
1/04/2014,26989,6756,2129,2824
1/05/2014,36883,10858,3676,10694
1/06/2014,29487,5751,2121,11036
1/07/2014,32378,5406,2239,13490
1/08/2014,37680,8619,1769,9139
1/09/2014,28473,61192,1073,5661
1/10/2014,27995,6488,1979,7356
1/11/2014,25691,4189,2404,9773
1/12/2014,18754,4339,1319,7184
1/01/2015,20438,3858,1823,6250
1/02/2015,15578,3742,1558,5907
1/03/2015,21297,5390,2336,9884
1/04/2015,26670,7000,3057,7254
1/05/2015,34383,12528,4009,13207
1/06/2015,30569,5377,2544,11102
1/07/2015,41242,6111,3057,11072
1/08/2015,30700,5383,2415,12096
1/09/2015,20967,5746,1398,6608
1/10/2015,29764,8882,2237,12524
1/11/2015,24483,6848,2850,6677
1/12/2015,21426,4502,2075,5967
1/01/2016,19659,4377,2150,6587
1/02/2016,17378,3675,2547,6955
1/03/2016,20322,6334,7702,9979
1/04/2016,24521,6509,3485,5113
1/05/2016,31728,9315,4565,7757
1/06/2016,23696,4918,3034,6751
1/07/2016,31689,5602,2776,12188
1/08/2016,25987,5181,2153,6245
1/09/2016,22897,4736,1754,6977
1/10/2016,25040,6145,2607,6282
1/11/2016,17760,3930,2248,6365
1/12/2016,20107,3911,2263,5223
1/01/2017,18792,3551,2531,4929
1/02/2017,14035,3491,2139,4493
1/03/2017,20680,5273,5966,6271
1/04/2017,25234,5320,3273,6685
1/05/2017,30029,8733,5585,7556
1/06/2017,22169,4862,2946,6818
1/07/2017,30831,5242,2939,8675
1/08/2017,27009,5379,1784,6212
1/09/2017,23403,4484,1704,4607
1/10/2017,22164,4822,2419,6097
1/11/2017,17629,4613,2685,6757
1/12/2017,18339,4448,2768,6780
1/01/2018,16265,3910,2477,5837
1/02/2018,14718,3306,2710,5705
1/03/2018,19001,5225,4529,4909
1/04/2018,18966,4535,2750,4650
1/05/2018,25173,8013,4960,5626
1/06/2018,22171,4635,2518,4694
1/07/2018,23136,4191,2620,4718
1/08/2018,20815,4866,2409,3891
1/09/2018,21020,4956,2146,3180
1/10/2018,19280,4622,2364,3775
1/11/2018,17163,4082,2385,4562
