Date,Shape of You,Despacito,Something Just Like This,HUMBLE.,Unforgettable
6/01/2017,12287078,,,,
7/01/2017,13190270,,,,
8/01/2017,13099919,,,,
9/01/2017,14506351,,,,
10/01/2017,14275628,,,,
11/01/2017,14372699,,,,
12/01/2017,14148108,,,,
13/01/2017,14536236,275178,,,
14/01/2017,14173311,1144886,,,
15/01/2017,12889849,1288198,,,
16/01/2017,14128468,1827581,,,
17/01/2017,14158281,2177449,,,
18/01/2017,14293365,2528408,,,
19/01/2017,14252159,2893300,,,
20/01/2017,14583344,3260014,,,
21/01/2017,14100340,3853781,,,
22/01/2017,12834029,3590914,,,
23/01/2017,14102623,4217226,,,
24/01/2017,14322902,4690718,,,
25/01/2017,14505619,4975605,,,
26/01/2017,14780816,5284138,,,
27/01/2017,15514586,5787911,,,
28/01/2017,14832215,6111181,,,
29/01/2017,13064919,5292500,,,
30/01/2017,14231127,5865825,,,
31/01/2017,14822928,6415754,,,
1/02/2017,15082574,6909578,,,
2/02/2017,15188841,7154707,,,
3/02/2017,15746115,7783608,,,
4/02/2017,15466788,7960983,,,
5/02/2017,13921836,6954006,,,
6/02/2017,14262945,7117879,,,
7/02/2017,14901649,7524853,,,
8/02/2017,15100809,7654919,,,
9/02/2017,14933036,7696998,,,
10/02/2017,15552934,8041356,,,
11/02/2017,15413871,8251406,,,
12/02/2017,13676618,7104062,,,
13/02/2017,14674584,7166431,,,
14/02/2017,15008480,7352353,,,
15/02/2017,15102932,7318174,,,
16/02/2017,15131464,7436876,,,
17/02/2017,15956427,7842114,,,
18/02/2017,15695805,7958583,,,
19/02/2017,13745624,6856240,,,
20/02/2017,14372218,6882922,,,
21/02/2017,14518094,7019868,,,
22/02/2017,14620249,7069521,215591,,
23/02/2017,7409446,3598449,3263782,,
24/02/2017,15502723,7718492,9495750,,
25/02/2017,15250574,7799662,8913284,,
26/02/2017,13154470,6542601,7892395,,
27/02/2017,13732236,6680914,8740161,,
28/02/2017,14104281,6894342,9025822,,
1/03/2017,14387674,6993754,9154085,,
2/03/2017,14637424,7124737,9289514,,
3/03/2017,19764745,7477002,9086940,,
4/03/2017,19190515,7578035,8391513,,
5/03/2017,16894102,6528616,7459124,,
6/03/2017,8920869,3209439,4108745,,
7/03/2017,17783792,6489893,8473791,,
8/03/2017,17461176,6481038,8372886,,
9/03/2017,17374877,6668838,8585554,,
10/03/2017,17683148,7151375,8696911,,
11/03/2017,17314324,7559157,8381828,,
12/03/2017,15271883,6483880,7492200,,
13/03/2017,15696357,6367631,8053150,,
14/03/2017,15429469,6530486,8036502,,
15/03/2017,15394529,6581381,8066840,,
16/03/2017,15322277,6744179,8153047,,
17/03/2017,15764710,7266069,8214961,,
18/03/2017,15516325,7537204,7972276,,
19/03/2017,13569145,6415819,7116930,,
20/03/2017,13967401,6261434,7484192,,
21/03/2017,14085438,6210215,7652882,,
22/03/2017,14114195,6274645,7704366,,
23/03/2017,14071898,6331494,7683797,,
24/03/2017,14738207,6914549,8016284,,
25/03/2017,14844704,7317552,7949671,,
26/03/2017,12775012,6167099,6919854,,
27/03/2017,13323435,6131439,7467563,,
28/03/2017,13350066,6292943,7690071,,
29/03/2017,13327608,6391751,7722621,,
30/03/2017,13278707,6487490,7718109,,
31/03/2017,13857236,6807668,8102263,5591687,
1/04/2017,13618632,6889959,7773710,6214676,
2/04/2017,11955149,5827083,6926595,5951795,
3/04/2017,12298714,5679885,7420502,7562327,
4/04/2017,12357088,5859633,7554846,7926908,
5/04/2017,12273297,5865613,7573175,7853640,
6/04/2017,12231223,5948378,7588367,7720368,
7/04/2017,13042637,6533680,9736931,8055220,317011
8/04/2017,12815920,6660608,9334494,7280150,308838
9/04/2017,11291392,5683746,8077875,6396104,756145
10/04/2017,11819128,5762588,8678774,7162611,954504
11/04/2017,11736951,5877897,8591469,7468021,953037
12/04/2017,11716914,6041766,8590463,7495873,972755
13/04/2017,11958775,6327822,8553816,7573209,1047409
14/04/2017,11443718,5846681,8048741,13144962,1124587
15/04/2017,11042206,5617332,7450464,11963789,1181031
16/04/2017,10010095,5108739,6713215,10040949,1200146
17/04/2017,10765545,10236693,7481411,11302669,1469013
18/04/2017,11003682,13837155,7720202,11967713,1699884
19/04/2017,10766018,14530591,7608793,11640174,1725940
20/04/2017,10826572,15603034,7578070,11181908,1820033
21/04/2017,11324112,18076042,7818554,11363409,1953608
22/04/2017,11234996,17750769,7449324,10274500,1890190
23/04/2017,9744436,15592441,6498748,8892731,1696541
24/04/2017,10226555,17174198,7108710,10131992,1976553
25/04/2017,10416529,17794232,7215107,10156513,2105738
26/04/2017,10483469,18053510,7252547,10145977,2620606
27/04/2017,10222461,18150660,7135760,10016786,2698186
28/04/2017,10818508,20021846,7545200,10309105,3028343
29/04/2017,10836688,20266973,7228232,9535829,3191729
30/04/2017,9754326,18406851,6545783,8415625,2971223
1/05/2017,9593805,18367645,6596730,8737383,3253665
2/05/2017,9706051,18955297,6846097,9192670,3619296
3/05/2017,9888519,19322294,6931541,9233418,3759408
4/05/2017,9934971,19505497,6935114,9207136,3855119
5/05/2017,10520138,21169157,7238272,9526065,4112038
6/05/2017,10555302,21096685,6959582,8935434,4025107
7/05/2017,9168672,17895091,6075220,7805942,3598374
8/05/2017,9483810,19068836,6592512,8576556,4168044
9/05/2017,9701644,19772336,6686915,8830985,4408268
10/05/2017,9675779,19848833,6653322,8746830,4488334
11/05/2017,9560953,20017122,6658910,8689326,4339295
12/05/2017,10105739,21542862,7013481,9077519,4523770
13/05/2017,10077677,21606277,6678893,8683478,4308062
14/05/2017,8671832,18556585,5758414,7511379,3845575
15/05/2017,9081859,19750988,6283248,8281634,4441224
16/05/2017,9374428,20324830,6344965,8538806,4709739
17/05/2017,9287237,20380605,6017925,8454767,4795563
18/05/2017,9162677,20967686,5836777,8431003,5096004
19/05/2017,9687373,22169945,6103377,8762806,5292576
20/05/2017,9587491,22271168,5882114,8239957,5032800
21/05/2017,8099936,19291804,5144732,7214077,4512437
22/05/2017,8306796,19990671,5526221,7757136,4997624
23/05/2017,8482709,20206249,5583887,7963927,5109260
24/05/2017,8689525,21098792,5753065,8060525,5310612
25/05/2017,8745570,21620119,5779886,8039395,5385823
26/05/2017,9285005,23218183,6101814,8318984,5579455
27/05/2017,8968725,22744894,5699766,7708217,5189684
28/05/2017,7797390,19682193,5021231,6799333,4722146
29/05/2017,7968074,19119391,5251779,6956411,4963030
1/06/2017,8270321,20697677,5495998,7364896,5738504
3/06/2017,8383160,21339194,5264998,7138376,5700860
4/06/2017,7292429,18317216,4665442,6308290,5056728
5/06/2017,7564274,18579274,5213153,6612172,5536914
6/06/2017,7733799,18831975,5317735,6844215,5794155
7/06/2017,7991347,19089132,5401157,6972281,6040520
8/06/2017,8038934,19146578,5359403,6893265,6103138
9/06/2017,8347951,20414015,5555463,7130699,6435133
10/06/2017,8294822,20814279,5298619,6876924,6317618
11/06/2017,7209910,18061777,4655866,6170861,5633437
12/06/2017,7471696,18016294,4983829,6516012,6132437
13/06/2017,7649602,18247619,5096237,6618499,6296232
14/06/2017,7791397,18796844,5230213,6699187,6529679
15/06/2017,7788117,18859909,5240236,6658054,6539428
16/06/2017,8108408,19658830,5431826,6783439,6671912
17/06/2017,8124731,20358876,5254454,6512488,6661705
18/06/2017,7062291,17669708,4607159,5697471,5919580
19/06/2017,7222278,17678927,4899566,6109417,6479657
20/06/2017,7322216,18072968,4945979,6226739,6650204
21/06/2017,7320808,18266517,4991918,6114166,6649982
22/06/2017,7414811,18516324,5028154,5836170,6676589
23/06/2017,7790331,19704628,5221599,5787698,6760113
24/06/2017,7435279,19027255,4808014,5356980,6406220
25/06/2017,6464995,16317670,4245668,4784760,5672986
26/06/2017,6899036,16833985,4719520,5159169,6457472
27/06/2017,6956048,16828321,4756455,5233342,6561576
28/06/2017,6948876,16755069,4733774,5219358,6600259
29/06/2017,6979147,16738208,4737784,5264616,6668812
30/06/2017,7418266,18016506,5002806,5414745,6964822
1/07/2017,7286405,18100043,4774843,5089295,6686994
2/07/2017,6291781,15459004,4141816,4470802,5843136
3/07/2017,6658379,15717350,4513399,4725057,6316964
